location_id,dim_store_id,loc_stateabbrv,loc_city2,loc_city,loc_zipcode,loc_lat,loc_long,location_type
391,1358,OR,Central Point,CENTRAL POINT,97502,42.3779793,-122.8991123,is_bluebook
504,397,OR,Klamath Falls,KLAMATH FALLS,97601,42.2561132,-121.798748,is_bluebook
584,1674,OR,Aurora,AURORA,97002,45.2334742,-122.8098783,is_bluebook
934,1134,OR,Lagrande,LAGRANDE,97850,45.2975453,-118.0435771,is_bluebook
1226,3496,OR,Biggs Junction,BIGGS JUNCTION,97065,45.6698584,-120.8319732,is_bluebook_one9
1232,3530,OR,Albany,ALBANY,97322,44.5551923,-123.0574333,is_bluebook_one9
1,654,PA,Mill Hall,MILL HALL,17751,41.034113,-77.515056,is_bluebook
81,1947,PA,Portersville,PORTERSVILLE,16051,40.9647475,-80.1397553,is_bluebook
245,2192,PA,Harrisburg,HARRISBURG,17112,40.3516753,-76.7169134,is_bluebook
298,1564,PA,Drums,DRUMS,18222,41.0271936,-76.0798879,is_bluebook
311,2057,PA,Erie,ERIE,16509,42.0700239,-80.0381528,is_bluebook
336,2027,PA,Dubois,DUBOIS,15801,41.1410309,-78.7832148,is_bluebook
348,1395,PA,Bentleyville,BENTLEYVILLE,15314,40.1317519,-80.0008991,is_bluebook
370,268,PA,Pittston,PITTSTON,18640,41.3143216,-75.7551742,is_bluebook
516,807,PA,Breezewood,BREEZEWOOD,15533,39.9986293,-78.2384715,is_licensee
517,917,PA,Duncannon,DUNCANNON,17020,40.4057097,-77.0096058,is_bluebook
518,176,PA,Frystown,FRYSTOWN,17067,40.4630779,-76.3398367,is_bluebook
522,2069,PA,Pine Grove,PINE GROVE,17963,40.5338511,-76.431746,is_dealer
620,2082,PA,Smithton,SMITHTON,15479,40.1705733,-79.7316872,is_bluebook
707,1495,PA,Brookville,BROOKVILLE,15825,41.1724046,-79.0957047,is_bluebook
708,2193,PA,Carlisle,CARLISLE,17013,40.2347806,-77.1233786,is_bluebook
709,252,PA,Mill Hall,MILL HALL,17751,41.0287417,-77.5221839,is_bluebook
710,1728,PA,New Milford,NEW MILFORD,18834,41.8244222,-75.6820808,is_bluebook
1163,3174,PA,Emlenton,EMLENTON,16373,41.1754704,-79.739507,is_dealer
4563,2841,PA,Harrisburg,HARRISBURG,17112,40.352449,-76.7273143,is_bluebook
60,1480,SC,Bowman,BOWMAN,29018,33.4169668,-80.6663708,is_bluebook
61,1504,SC,Clinton,CLINTON,29325,34.5089285,-81.8579788,is_bluebook
62,2240,SC,Florence,FLORENCE,29506,34.2631721,-79.7012871,is_bluebook
63,2279,SC,Piedmont,PIEDMONT,29673,34.7108157,-82.4976933,is_bluebook
64,2238,SC,Summerville,SUMMERVILLE,29483,33.038933,-80.142378,is_bluebook_one9
310,440,SC,Duncan,DUNCAN,29334,34.9150603,-82.1079396,is_bluebook
337,801,SC,Florence,FLORENCE,29501,34.2327643,-79.8021844,is_bluebook
338,2421,SC,Cayce,CAYCE,29033,33.966034,-81.0792947,is_bluebook
346,861,SC,Lugoff,LUGOFF,29078,34.19298,-80.686871,is_bluebook
453,2318,SC,Gaffney,GAFFNEY,29341,35.0780788,-81.7038155,is_bluebook
493,1731,SC,St. George,ST. GEORGE,29477,33.1926438,-80.6017991,is_bluebook
711,1101,SC,Blacksburg,BLACKSBURG,29702,35.1422535,-81.5099515,is_bluebook
712,2312,SC,Columbia,COLUMBIA,29203,34.0647455,-81.0233716,is_bluebook
713,475,SC,Latta,LATTA,29565,34.3402058,-79.5324537,is_bluebook
714,564,SC,Rock Hill,ROCK HILL,29730,34.8562956,-81.0059182,is_bluebook
1068,2798,SC,Summerville,SUMMERVILLE,29483,33.0808936,-80.2108595,is_bluebook
1082,2795,SC,N. Charleston,N. CHARLESTON,29406,32.9033997,-79.9843098,is_bluebook
1331,4045,SC,Cowpens,COWPENS,29330,35.0468969,-81.8123165,is_one9_dealer
4566,2846,SC,Blacksburg,BLACKSBURG,29702,35.166119,-81.4514056,is_bluebook
4567,2894,SC,Rock Hill,ROCK HILL,29730,34.9131979,-80.9795243,is_bluebook
4568,2840,SC,Graniteville,GRANITEVILLE,29829,33.6042059,-81.8408969,is_bluebook
4569,2839,SC,Hardeeville,HARDEEVILLE,29927,32.2688535,-81.0806143,is_bluebook
4576,2889,SC,St. George,ST. GEORGE,29477,33.2693588,-80.5675124,is_bluebook
4578,2882,SC,Winnsboro,WINNSBORO,29180,34.5081743,-81.0009163,is_bluebook
4579,2877,SC,St. Matthews,ST. MATTHEWS,29135,33.6328331,-80.8792944,is_bluebook
4580,2896,SC,Prosperity,PROSPERITY,29127,34.240307,-81.4589682,is_bluebook
4581,2888,SC,Bishopville,BISHOPVILLE,29010,34.1924643,-80.2833077,is_bluebook
4584,2885,SC,Latta,LATTA,29565,34.3450971,-79.5343145,is_bluebook
599,734,SD,Murdo,MURDO,57559,43.8860106,-100.7046741,is_bluebook
716,1996,SD,Sioux Falls,SIOUX FALLS,57107,43.6031305,-96.7671723,is_bluebook
918,560,SD,Rapid City,RAPID CITY,57702,44.1127503,-103.2730747,is_bluebook
931,1075,SD,Rapid City,RAPID CITY,57701,44.1033923,-103.1497245,is_licensee
51,862,TN,Greeneville,GREENEVILLE,37745,36.3205041,-82.8319861,is_bluebook
52,2206,TN,Lavergne,LAVERGNE,37086,35.9978664,-86.5954117,is_bluebook
53,333,TN,Hurricane Mills,HURRICANE MILLS,37078,35.8821886,-87.8018369,is_bluebook
106,1805,TN,Knoxville,KNOXVILLE,37921,35.9578495,-84.0015516,unkn
114,465,TN,Crossville,CROSSVILLE,38571,35.9858731,-85.0115463,is_bluebook
132,1152,TN,Kingston,KINGSTON,37763,35.874325,-84.4591591,unkn
149,2233,TN,Stanton,STANTON,38069,35.3901017,-89.4106601,is_bluebook
219,224,TN,Knoxville,KNOXVILLE,37914,35.9991982,-83.7780005,is_bluebook
226,1187,TN,Dandridge,DANDRIDGE,37725,36.037557,-83.444998,is_bluebook
241,622,TN,Knoxville,KNOXVILLE,37914,35.9604878,-83.8232321,unkn
265,1326,TN,Cookeville,COOKEVILLE,38501,36.1336945,-85.504192,is_bluebook
270,661,TN,Knoxville,KNOXVILLE,37934,35.90363,-84.140551,is_bluebook
366,146,TN,Jackson,JACKSON,38305,35.682591,-88.7771176,is_bluebook
403,2141,TN,Heiskell,HEISKELL,37754,36.1110773,-84.0201393,is_bluebook
404,892,TN,Murfreesboro,MURFREESBORO,37127,35.8078671,-86.3967846,is_bluebook
406,2402,TN,Cornersville,CORNERSVILLE,37047,35.3053066,-86.8840857,is_bluebook
409,1998,TN,Dickson,DICKSON,37055,36.0228843,-87.3407382,is_bluebook
411,842,TN,Lebanon,LEBANON,37090,36.1791753,-86.2994386,is_bluebook
412,586,TN,White Pine,WHITE PINE,37890,36.1089731,-83.3340946,is_bluebook
413,667,TN,Nashville,NASHVILLE,37209,36.1722647,-86.8652182,unkn
481,992,TN,Cleveland,CLEVELAND,37353,35.1527711,-84.9529946,is_bluebook
720,1640,TN,Fairview,FAIRVIEW,37062,36.0270605,-87.1717159,is_bluebook
