dimstate,dimcity,dimzipcode,dimcounty,dimcounty2
MA,Boston,2209,Suffolk,Suffolk County
MA,Boston,2210,Suffolk,Suffolk County
MA,Boston,2211,Suffolk,Suffolk County
MA,Boston,2212,Middlesex,Middlesex County
MA,Boston,2215,Suffolk,Suffolk County
MA,Boston,2216,Suffolk,Suffolk County
MA,Boston,2217,Suffolk,Suffolk County
MA,Boston,2222,Suffolk,Suffolk County
MA,East Boston,2228,Suffolk,Suffolk County
MA,Cambridge,2238,Middlesex,Middlesex County
MA,Cambridge,2239,Middlesex,Middlesex County
MA,Boston,2241,Suffolk,Suffolk County
MA,Boston,2266,Suffolk,Suffolk County
MA,Quincy,2269,Norfolk,Norfolk County
MA,Boston,2283,Suffolk,Suffolk County
MA,Boston,2284,Suffolk,Suffolk County
MA,Boston,2293,Suffolk,Suffolk County
MA,Boston,2295,Suffolk,Suffolk County
MA,Boston,2297,Suffolk,Suffolk County
MA,Boston,2298,Suffolk,Suffolk County
MA,Brockton,2301,Plymouth,Plymouth County
MA,Brockton,2302,Plymouth,Plymouth County
MA,Brockton,2303,Plymouth,Plymouth County
MA,Brockton,2304,Plymouth,Plymouth County
MA,Brockton,2305,Plymouth,Plymouth County
MA,Avon,2322,Norfolk,Norfolk County
MA,Bridgewater,2324,Plymouth,Plymouth County
MA,Bridgewater,2325,Plymouth,Plymouth County
MA,Bryantville,2327,Plymouth,Plymouth County
MA,Carver,2330,Plymouth,Plymouth County
MA,Duxbury,2331,Plymouth,Plymouth County
MA,Duxbury,2332,Plymouth,Plymouth County
MA,East Bridgewater,2333,Plymouth,Plymouth County
MA,Easton,2334,Bristol,Bristol County
MA,Elmwood,2337,Plymouth,Plymouth County
MA,Halifax,2338,Plymouth,Plymouth County
MA,Hanover,2339,Plymouth,Plymouth County
MA,Hanover,2340,Plymouth,Plymouth County
MA,Hanson,2341,Plymouth,Plymouth County
MA,Holbrook,2343,Norfolk,Norfolk County
MA,Middleboro,2344,Plymouth,Plymouth County
MA,Manomet,2345,Plymouth,Plymouth County
MA,Middleboro,2346,Plymouth,Plymouth County
MA,Lakeville,2347,Plymouth,Plymouth County
MA,Middleboro,2348,Plymouth,Plymouth County
MA,Middleboro,2349,Plymouth,Plymouth County
MA,Monponsett,2350,Plymouth,Plymouth County
MA,Abington,2351,Plymouth,Plymouth County
MA,North Carver,2355,Plymouth,Plymouth County
MA,North Easton,2356,Bristol,Bristol County
MA,North Easton,2357,Bristol,Bristol County
MA,North Pembroke,2358,Plymouth,Plymouth County
MA,Pembroke,2359,Plymouth,Plymouth County
MA,Plymouth,2360,Plymouth,Plymouth County
MA,Plymouth,2361,Plymouth,Plymouth County
MA,Plymouth,2362,Plymouth,Plymouth County
MA,Kingston,2364,Plymouth,Plymouth County
MA,South Carver,2366,Plymouth,Plymouth County
MA,Plympton,2367,Plymouth,Plymouth County
MA,Randolph,2368,Norfolk,Norfolk County
MA,Rockland,2370,Plymouth,Plymouth County
MA,South Easton,2375,Bristol,Bristol County
MA,West Bridgewater,2379,Plymouth,Plymouth County
MA,White Horse Beach,2381,Plymouth,Plymouth County
MA,Whitman,2382,Plymouth,Plymouth County
MA,Lexington,2420,Middlesex,Middlesex County
MA,Lexington,2421,Middlesex,Middlesex County
MA,Brookline,2445,Norfolk,Norfolk County
MA,Brookline,2446,Norfolk,Norfolk County
MA,Brookline Village,2447,Norfolk,Norfolk County
MA,Waltham,2451,Middlesex,Middlesex County
MA,Waltham,2452,Middlesex,Middlesex County
MA,Waltham,2453,Middlesex,Middlesex County
MA,Waltham,2454,Middlesex,Middlesex County
MA,North Waltham,2455,Middlesex,Middlesex County
MA,New Town,2456,Middlesex,Middlesex County
MA,Babson Park,2457,Norfolk,Norfolk County
MA,Newton,2458,Middlesex,Middlesex County
MA,Newton Center,2459,Middlesex,Middlesex County
MA,Newtonville,2460,Middlesex,Middlesex County
MA,Newton Highlands,2461,Middlesex,Middlesex County
MA,Newton Lower Falls,2462,Middlesex,Middlesex County
MA,Newton Upper Falls,2464,Middlesex,Middlesex County
MA,West Newton,2465,Middlesex,Middlesex County
MA,Auburndale,2466,Middlesex,Middlesex County
MA,Chestnut Hill,2467,Middlesex,Middlesex County
MA,Waban,2468,Middlesex,Middlesex County
MA,Watertown,2471,Middlesex,Middlesex County
MA,Watertown,2472,Middlesex,Middlesex County
MA,Arlington,2474,Middlesex,Middlesex County
MA,Arlington Heights,2475,Middlesex,Middlesex County
MA,Arlington,2476,Middlesex,Middlesex County
